Dataset_ID,Buyer_ID,Product_ID,Recommended,Clicked,Viewed,Purchased,Ignored,Hidden,Feedback,Ground_Truth,Scenario_Type,Confidence_Score,Created_Date,Version
FB000870,BYR000215,PRD001500,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.8,2026-05-22,v1.0
FB000871,BYR000548,PRD000589,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.54,2026-08-06,v1.0
FB000872,BYR000176,PRD002362,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.9,2026-06-26,v1.0
FB000873,BYR000626,PRD000867,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.99,2026-06-12,v1.0
FB000874,BYR000281,PRD001110,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.94,2026-05-20,v1.0
FB000875,BYR000899,PRD002515,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.54,2026-06-19,v1.0
FB000876,BYR000330,PRD002451,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.9,2026-05-25,v1.0
FB000877,BYR000058,PRD000834,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.61,2026-05-10,v1.0
FB000878,BYR000929,PRD002678,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.54,2026-07-26,v1.0
FB000879,BYR000584,PRD000505,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,COLD_START,0.74,2026-07-18,v1.0
FB000880,BYR000268,PRD001979,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,BOUNDARY,0.67,2026-07-23,v1.0
FB000881,BYR000662,PRD001544,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.75,2026-06-03,v1.0
FB000882,BYR000770,PRD000171,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.91,2026-06-22,v1.0
FB000883,BYR000501,PRD001044,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.96,2026-07-01,v1.0
FB000884,BYR000055,PRD002570,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.62,2026-06-26,v1.0
FB000885,BYR000459,PRD001336,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.84,2026-07-11,v1.0
FB000886,BYR000078,PRD000644,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.51,2026-08-02,v1.0
FB000887,BYR000667,PRD001292,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,RARE,0.97,2026-06-17,v1.0
FB000888,BYR000245,PRD001860,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.88,2026-06-03,v1.0
FB000889,BYR000119,PRD001511,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.93,2026-08-05,v1.0
FB000890,BYR000203,PRD000147,Yes,No,No,No,Yes,Yes,Already purchased elsewhere,Negative,NORMAL,0.62,2026-08-04,v1.0
FB000891,BYR000355,PRD001456,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.59,2026-07-08,v1.0
FB000892,BYR000456,PRD000730,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.62,2026-07-01,v1.0
FB000893,BYR000503,PRD002322,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NEGATIVE,0.88,2026-07-08,v1.0
FB000894,BYR000764,PRD001877,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,BOUNDARY,0.65,2026-06-23,v1.0
FB000895,BYR000203,PRD000629,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.93,2026-06-06,v1.0
FB000896,BYR000190,PRD001105,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,COLD_START,0.68,2026-05-18,v1.0
FB000897,BYR000269,PRD002639,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.62,2026-05-19,v1.0
FB000898,BYR000300,PRD000385,Yes,No,No,No,Yes,Yes,Not interested,Negative,NORMAL,0.56,2026-06-10,v1.0
FB000899,BYR000179,PRD001314,Yes,Yes,Yes,Yes,No,No,Great match! ⭐⭐⭐⭐⭐,Positive,NORMAL,0.58,2026-05-20,v1.0
FB000900,BYR000717,PRD000743,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.73,2026-06-11,v1.0
FB000901,BYR000769,PRD001372,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.84,2026-05-09,v1.0
FB000902,BYR000798,PRD000895,Yes,No,Yes,No,No,No,Not my style,Neutral,RARE,0.65,2026-06-18,v1.0
FB000903,BYR000557,PRD001449,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.53,2026-06-04,v1.0
FB000904,BYR000105,PRD002158,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.78,2026-07-18,v1.0
FB000905,BYR000834,PRD002825,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.57,2026-08-03,v1.0
FB000906,BYR000880,PRD002593,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.72,2026-06-05,v1.0
FB000907,BYR000143,PRD000810,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.51,2026-05-11,v1.0
FB000908,BYR000838,PRD001018,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,NORMAL,0.98,2026-07-04,v1.0
FB000909,BYR000878,PRD002561,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.59,2026-05-31,v1.0
FB000910,BYR000840,PRD000729,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,BOUNDARY,0.55,2026-07-18,v1.0
FB000911,BYR000436,PRD000919,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,RARE,0.85,2026-08-01,v1.0
FB000912,BYR000478,PRD002294,Yes,No,No,No,Yes,Yes,Not interested,Negative,NORMAL,0.78,2026-05-23,v1.0
FB000913,BYR000637,PRD002997,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.66,2026-05-21,v1.0
FB000914,BYR000843,PRD001918,Yes,No,No,No,Yes,No,Not interested,Negative,EDGE,0.63,2026-05-14,v1.0
FB000915,BYR000213,PRD002749,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.73,2026-07-12,v1.0
FB000916,BYR000963,PRD000642,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.7,2026-06-22,v1.0
FB000917,BYR000536,PRD002893,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.73,2026-07-30,v1.0
FB000918,BYR000893,PRD000357,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,BOUNDARY,0.52,2026-05-29,v1.0
FB000919,BYR000275,PRD001912,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.64,2026-06-20,v1.0
FB000920,BYR000694,PRD001070,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.76,2026-05-24,v1.0
FB000921,BYR000185,PRD000778,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.53,2026-06-22,v1.0
FB000922,BYR000501,PRD001039,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.8,2026-05-09,v1.0
FB000923,BYR000572,PRD002089,Yes,Yes,Yes,Yes,No,No,Great match! ⭐⭐⭐⭐⭐,Positive,NORMAL,0.62,2026-05-16,v1.0
FB000924,BYR000703,PRD002320,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.85,2026-07-16,v1.0
FB000925,BYR000032,PRD001402,Yes,No,No,No,Yes,Yes,Duplicate of item I already own,Negative,NORMAL,0.89,2026-05-30,v1.0
FB000926,BYR000668,PRD002874,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.56,2026-07-15,v1.0
FB000927,BYR000879,PRD001120,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.51,2026-05-28,v1.0
FB000928,BYR000387,PRD001874,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.58,2026-07-27,v1.0
FB000929,BYR000842,PRD002202,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,EDGE,0.88,2026-07-01,v1.0
FB000930,BYR000765,PRD001500,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.52,2026-06-21,v1.0
FB000931,BYR000341,PRD000175,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.82,2026-05-27,v1.0
FB000932,BYR000982,PRD000729,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,COLD_START,0.68,2026-06-05,v1.0
FB000933,BYR000991,PRD000433,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,1.0,2026-08-01,v1.0
FB000934,BYR000360,PRD001975,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.93,2026-05-20,v1.0
FB000935,BYR000579,PRD000587,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.94,2026-08-01,v1.0
FB000936,BYR000322,PRD001372,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.62,2026-06-15,v1.0
FB000937,BYR000404,PRD001955,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.93,2026-06-04,v1.0
FB000938,BYR000064,PRD001393,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.52,2026-07-23,v1.0
FB000939,BYR000023,PRD000324,Yes,No,No,No,Yes,No,Not interested,Negative,BOUNDARY,0.77,2026-05-29,v1.0
FB000940,BYR000805,PRD002418,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.91,2026-06-26,v1.0
FB000941,BYR000120,PRD002261,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NEGATIVE,0.75,2026-06-26,v1.0
FB000942,BYR000626,PRD000499,Yes,No,Yes,No,No,No,Not my style,Neutral,EDGE,0.71,2026-07-19,v1.0
FB000943,BYR000925,PRD002463,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,EDGE,0.57,2026-05-31,v1.0
FB000944,BYR000458,PRD002174,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.69,2026-06-20,v1.0
FB000945,BYR000131,PRD001785,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,BOUNDARY,0.77,2026-07-23,v1.0
FB000946,BYR000579,PRD000587,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.59,2026-05-26,v1.0
FB000947,BYR000802,PRD000283,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.71,2026-05-24,v1.0
FB000948,BYR000752,PRD002188,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.58,2026-05-30,v1.0
FB000949,BYR000727,PRD002698,Yes,Yes,Yes,Yes,No,No,"Perfect timing, needed this",Positive,NORMAL,0.95,2026-06-01,v1.0
FB000950,BYR000020,PRD002493,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.63,2026-06-04,v1.0
FB000951,BYR000238,PRD001599,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.99,2026-05-14,v1.0
FB000952,BYR000914,PRD002804,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NEGATIVE,0.63,2026-05-17,v1.0
FB000953,BYR000116,PRD000481,Yes,No,No,No,Yes,Yes,Duplicate of item I already own,Negative,NORMAL,0.57,2026-07-28,v1.0
FB000954,BYR000067,PRD000209,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,BOUNDARY,0.59,2026-06-05,v1.0
FB000955,BYR000658,PRD001413,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,EDGE,0.92,2026-07-27,v1.0
FB000956,BYR000394,PRD000095,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.95,2026-06-03,v1.0
FB000957,BYR000990,PRD000388,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NEGATIVE,0.65,2026-07-15,v1.0
FB000958,BYR000449,PRD001100,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.79,2026-06-12,v1.0
FB000959,BYR000240,PRD000108,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.59,2026-07-23,v1.0
FB000960,BYR000471,PRD000779,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.8,2026-07-29,v1.0
FB000961,BYR000355,PRD001447,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,BOUNDARY,0.69,2026-08-01,v1.0
FB000962,BYR000299,PRD002782,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.52,2026-05-17,v1.0
FB000963,BYR000934,PRD000879,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.54,2026-05-24,v1.0
FB000964,BYR000177,PRD001578,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NEGATIVE,0.8,2026-05-18,v1.0
FB000965,BYR000546,PRD000553,Yes,No,No,No,Yes,No,Not interested,Negative,NEGATIVE,0.82,2026-06-26,v1.0
FB000966,BYR000711,PRD000839,Yes,Yes,Yes,Yes,No,No,Great match! ⭐⭐⭐⭐⭐,Positive,NORMAL,0.77,2026-05-24,v1.0
FB000967,BYR000042,PRD001856,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,BOUNDARY,0.97,2026-05-08,v1.0
FB000968,BYR000534,PRD002086,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.7,2026-05-16,v1.0
FB000969,BYR000369,PRD001713,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.72,2026-05-29,v1.0
FB000970,BYR000878,PRD001679,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.94,2026-07-05,v1.0
FB000971,BYR000407,PRD000395,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.54,2026-07-31,v1.0
FB000972,BYR000428,PRD002130,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NEGATIVE,0.8,2026-07-15,v1.0
FB000973,BYR000850,PRD000185,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.62,2026-06-16,v1.0
FB000974,BYR000257,PRD002563,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,EDGE,0.88,2026-07-23,v1.0
FB000975,BYR000253,PRD001400,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.9,2026-07-12,v1.0
FB000976,BYR000073,PRD001281,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.92,2026-06-04,v1.0
FB000977,BYR000333,PRD000068,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,NORMAL,0.93,2026-05-12,v1.0
FB000978,BYR000088,PRD000176,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.52,2026-05-28,v1.0
FB000979,BYR000471,PRD001026,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.95,2026-07-20,v1.0
FB000980,BYR000621,PRD001703,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,NORMAL,1.0,2026-07-28,v1.0
FB000981,BYR000936,PRD001014,Yes,Yes,Yes,Yes,No,No,"Perfect timing, needed this",Positive,COLD_START,0.77,2026-06-14,v1.0
FB000982,BYR000934,PRD001907,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.96,2026-07-29,v1.0
FB000983,BYR000097,PRD002311,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,EDGE,0.97,2026-05-24,v1.0
FB000984,BYR000075,PRD002590,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,EDGE,0.66,2026-06-03,v1.0
FB000985,BYR000328,PRD000293,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NEGATIVE,0.71,2026-07-26,v1.0
FB000986,BYR000336,PRD001377,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.58,2026-07-09,v1.0
FB000987,BYR000912,PRD001529,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.52,2026-08-05,v1.0
FB000988,BYR000203,PRD000147,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.66,2026-06-07,v1.0
FB000989,BYR000589,PRD002385,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,NORMAL,0.62,2026-06-11,v1.0
FB000990,BYR000457,PRD001860,Yes,Yes,Yes,Yes,No,No,"Perfect timing, needed this",Positive,NORMAL,0.78,2026-06-08,v1.0
FB000991,BYR000972,PRD000107,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,BOUNDARY,0.56,2026-06-24,v1.0
FB000992,BYR000672,PRD002137,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.75,2026-07-23,v1.0
FB000993,BYR000505,PRD002358,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,EDGE,0.56,2026-06-11,v1.0
FB000994,BYR000124,PRD001806,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.56,2026-06-23,v1.0
FB000995,BYR000299,PRD000082,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NEGATIVE,0.64,2026-05-30,v1.0
FB000996,BYR000218,PRD002471,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.87,2026-07-29,v1.0
FB000997,BYR000397,PRD001534,Yes,No,Yes,No,No,No,Not my style,Neutral,NEGATIVE,0.82,2026-05-22,v1.0
FB000998,BYR000727,PRD002820,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.92,2026-06-05,v1.0
FB000999,BYR000095,PRD002591,Yes,No,No,No,Yes,No,Not interested,Negative,COLD_START,0.74,2026-07-20,v1.0
FB001000,BYR000471,PRD002542,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.93,2026-06-10,v1.0
FB001001,BYR000899,PRD002350,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.7,2026-07-14,v1.0
FB001002,BYR000373,PRD001660,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.93,2026-06-27,v1.0
FB001003,BYR000245,PRD000970,Yes,No,Yes,No,No,No,Not my style,Neutral,EDGE,0.75,2026-06-25,v1.0
FB001004,BYR000393,PRD000418,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.94,2026-08-06,v1.0
FB001005,BYR000387,PRD002883,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.96,2026-07-07,v1.0
FB001006,BYR000537,PRD000946,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.65,2026-05-30,v1.0
FB001007,BYR000740,PRD000264,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,COLD_START,0.68,2026-06-25,v1.0
FB001008,BYR000660,PRD001464,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.7,2026-06-10,v1.0
FB001009,BYR000711,PRD001873,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,COLD_START,0.62,2026-06-14,v1.0
FB001010,BYR000980,PRD001676,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.68,2026-06-29,v1.0
FB001011,BYR000029,PRD000600,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,NORMAL,0.66,2026-07-11,v1.0
FB001012,BYR000984,PRD001049,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,BOUNDARY,0.86,2026-07-29,v1.0
FB001013,BYR000766,PRD000564,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.72,2026-06-26,v1.0
FB001014,BYR000612,PRD002912,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.73,2026-07-16,v1.0
FB001015,BYR000042,PRD001939,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NEGATIVE,0.93,2026-06-04,v1.0
FB001016,BYR000288,PRD002363,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.6,2026-07-17,v1.0
FB001017,BYR000491,PRD000259,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NEGATIVE,0.71,2026-07-19,v1.0
FB001018,BYR000841,PRD002451,Yes,Yes,Yes,No,No,No,Relevant recommendation,Neutral,NORMAL,0.5,2026-07-19,v1.0
FB001019,BYR000393,PRD001055,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.66,2026-05-08,v1.0
FB001020,BYR000010,PRD001175,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,COLD_START,0.85,2026-07-10,v1.0
FB001021,BYR000004,PRD000236,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,BOUNDARY,0.8,2026-07-31,v1.0
FB001022,BYR000893,PRD000599,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.98,2026-07-08,v1.0
FB001023,BYR000657,PRD000683,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.95,2026-07-04,v1.0
FB001024,BYR000456,PRD002980,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.77,2026-08-04,v1.0
FB001025,BYR000306,PRD002064,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,NORMAL,0.78,2026-06-22,v1.0
FB001026,BYR000611,PRD002878,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.93,2026-05-11,v1.0
FB001027,BYR000905,PRD002890,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,0.55,2026-07-08,v1.0
FB001028,BYR000234,PRD000722,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,NORMAL,1.0,2026-08-02,v1.0
FB001029,BYR000217,PRD000589,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.57,2026-07-18,v1.0
FB001030,BYR000610,PRD001876,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.6,2026-08-05,v1.0
FB001031,BYR000539,PRD002937,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,EDGE,0.98,2026-05-19,v1.0
FB001032,BYR000066,PRD000723,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.89,2026-05-12,v1.0
FB001033,BYR000888,PRD000683,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,EDGE,0.8,2026-05-13,v1.0
FB001034,BYR000960,PRD002797,Yes,No,No,No,Yes,No,Duplicate of item I already own,Negative,EDGE,0.83,2026-05-18,v1.0
FB001035,BYR000618,PRD002412,Yes,No,No,No,Yes,Yes,Already purchased elsewhere,Negative,BOUNDARY,0.67,2026-06-10,v1.0
FB001036,BYR000479,PRD001373,Yes,No,No,No,Yes,Yes,Already purchased elsewhere,Negative,NEGATIVE,0.91,2026-07-05,v1.0
FB001037,BYR000834,PRD002973,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.87,2026-05-16,v1.0
FB001038,BYR000100,PRD000491,Yes,No,No,No,Yes,No,Not interested,Negative,NEGATIVE,0.72,2026-07-03,v1.0
FB001039,BYR000690,PRD000148,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NEGATIVE,0.68,2026-06-13,v1.0
FB001040,BYR000228,PRD000267,Yes,No,No,No,Yes,Yes,Duplicate of item I already own,Negative,NORMAL,0.92,2026-05-11,v1.0
FB001041,BYR000976,PRD001069,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.91,2026-07-31,v1.0
FB001042,BYR000192,PRD000204,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.9,2026-07-31,v1.0
FB001043,BYR000117,PRD001751,Yes,Yes,Yes,Yes,No,No,Clicked and purchased,Positive,BOUNDARY,0.65,2026-05-21,v1.0
FB001044,BYR000132,PRD002573,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,BOUNDARY,0.76,2026-07-28,v1.0
FB001045,BYR000964,PRD001413,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.62,2026-06-20,v1.0
FB001046,BYR000835,PRD002519,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.56,2026-08-05,v1.0
FB001047,BYR000928,PRD000227,Yes,Yes,Yes,Yes,No,No,"Perfect timing, needed this",Positive,NORMAL,0.58,2026-05-12,v1.0
FB001048,BYR000861,PRD000571,Yes,No,Yes,No,No,No,Not my style,Neutral,COLD_START,0.71,2026-08-03,v1.0
FB001049,BYR000911,PRD002257,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,BOUNDARY,0.69,2026-06-01,v1.0
FB001050,BYR000620,PRD002244,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NEGATIVE,0.65,2026-08-04,v1.0
FB001051,BYR000618,PRD000593,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.54,2026-06-26,v1.0
FB001052,BYR000958,PRD001757,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.54,2026-06-10,v1.0
FB001053,BYR000078,PRD002976,Yes,Yes,Yes,No,No,No,"Good match, saved to wishlist",Neutral,NORMAL,0.68,2026-05-12,v1.0
FB001054,BYR000902,PRD001158,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NORMAL,0.7,2026-07-05,v1.0
FB001055,BYR000496,PRD001012,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.89,2026-07-16,v1.0
FB001056,BYR000897,PRD002074,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.68,2026-07-07,v1.0
FB001057,BYR000714,PRD002034,Yes,No,Yes,No,No,No,Price too high 😅,Neutral,RARE,0.89,2026-06-26,v1.0
FB001058,BYR000354,PRD002830,Yes,No,Yes,No,No,No,Not my style,Neutral,NORMAL,0.67,2026-07-29,v1.0
FB001059,BYR000162,PRD000927,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.94,2026-06-23,v1.0
FB001060,BYR000636,PRD002986,Yes,No,No,No,Yes,Yes,Already purchased elsewhere,Negative,NORMAL,0.62,2026-05-20,v1.0
FB001061,BYR000337,PRD002068,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,BOUNDARY,0.71,2026-07-11,v1.0
FB001062,BYR000992,PRD000886,Yes,No,No,No,Yes,No,Already purchased elsewhere,Negative,NORMAL,0.91,2026-05-14,v1.0
FB001063,BYR000881,PRD000931,Yes,No,Yes,No,No,No,Not my style,Neutral,EDGE,0.65,2026-07-20,v1.0
FB001064,BYR000266,PRD000038,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.82,2026-05-29,v1.0
FB001065,BYR000466,PRD000800,Yes,Yes,Yes,No,No,No,Too expensive for my budget,Neutral,NEGATIVE,0.71,2026-05-20,v1.0
FB001066,BYR000279,PRD001476,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.79,2026-06-07,v1.0
FB001067,BYR000904,PRD002385,Yes,No,No,No,Yes,No,Not interested,Negative,NORMAL,0.64,2026-05-30,v1.0
FB001068,BYR000491,PRD000812,Yes,No,Yes,No,No,No,Irrelevant to my search,Neutral,NORMAL,0.62,2026-08-02,v1.0
